diametro;capacita_massima;portata_massima;diametro_minimo;diametro_massimo;peso
60;74;250;3;20;17
70;119;400;3;20;22
80;169;600;3;20;28
90;213;900;3;40;43
100;328;1300;3;40;54
120;551;1700;5;45;100
140;814;2500;5;50;145
160;1171;3300;8;60;225
180;1703;4500;21;66;345
200;2066;5000;31;75;420
220;2582;5600;36;75;520
